arm,seed,split,lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return,path_to_endpoint_distance_ratio,service_deficit_fraction,longest_service_deficit_s,delay_above_one_s_fraction,max_delay_proxy_s,final_buffer_bits
reward_only,1105,longer_test,58,42013_0058,True,True,success,101.0,1.6184965372085571,1.7234729528427124,1674.38037109375,1634.8123779296875,24074.35546875,13,0.0,0.0,1.3488306286975298,9.428294869493503e-07,-8.586931228637695,-16.484041213989258,-39.0,35.26668573357165,1.0242033848643666,0.38613861386138615,5.0,0.26732673267326734,44.040653228759766,0.0
reward_only,1105,longer_test,59,42013_0059,True,True,success,99.0,3.629314422607422,0.9767810702323914,1725.807861328125,1712.8892822265625,24250.52734375,7,1.0,0.0,2.5430225607647436,3.897715899800901e-07,-7.146627426147461,-15.492426872253418,-40.969696044921875,37.962166015058756,1.0075419813969353,0.1919191919191919,3.0,0.13131313131313133,200.0,0.0
reward_only,1105,longer_test,60,42013_0060,True,True,success,72.0,3.3779804706573486,0.861350417137146,1034.957763671875,1027.4969482421875,14685.0537109375,9,0.0,0.0,3.347408840904892,8.100364756242268e-07,-9.825777053833008,-17.250261306762695,-40.97222137451172,27.78476030472666,1.0072611558043567,0.4583333333333333,5.0,0.2916666666666667,140.9182891845703,0.0
reward_only,1105,longer_test,61,42013_0061,True,True,success,76.0,3.3043270111083984,1.599886178970337,1013.9842529296875,1007.5086059570312,14639.7451171875,4,0.0,0.0,0.883889893854135,5.363957317614988e-07,-6.376229286193848,-18.363264083862305,-39.22368240356445,28.15068864542991,1.0064273862618822,0.23684210526315788,3.0,0.15789473684210525,16.505680084228516,0.0
reward_only,1105,longer_test,62,42013_0062,True,True,success,106.0,1.407552719116211,1.8670172691345215,1292.74853515625,1274.1739501953125,20083.431640625,8,0.0,0.0,3.7880551945066676,7.472764298843274e-07,-8.85098648071289,-19.29942512512207,-40.45283126831055,29.281575174536556,1.014577746592677,0.33962264150943394,7.0,0.37735849056603776,154.48577880859375,0.0
reward_only,1105,longer_test,63,42013_0063,True,True,success,72.0,3.3280630111694336,1.2605608701705933,1046.533447265625,1038.569091796875,14878.1845703125,3,0.0,0.0,2.212174134587662,6.409221984742746e-07,-8.062868118286133,-15.917677879333496,-40.11111068725586,28.211371641606092,1.0076685851058502,0.3472222222222222,10.0,0.3333333333333333,67.49129486083984,0.0
reward_only,1105,longer_test,64,42013_0064,True,True,success,76.0,5.402812480926514,1.0475653409957886,1178.4390869140625,1145.9591064453125,16676.27734375,5,0.0,0.0,1.0081132678927756,7.477139495162383e-07,-8.017448425292969,-18.571880340576172,-39.407894134521484,30.17418196424842,1.0283430536797258,0.21052631578947367,2.0,0.14473684210526316,19.419050216674805,0.0
reward_only,1105,longer_test,65,42013_0065,True,True,success,112.0,0.7869266271591187,1.6302918195724487,1559.896484375,1550.5181884765625,23404.673828125,10,0.0,0.0,3.2144492573944654,9.711885675350068e-07,-9.37670612335205,-18.767194747924805,-39.60714340209961,33.479949897155166,1.006048491380583,0.30357142857142855,4.0,0.29464285714285715,82.34323120117188,0.0
reward_only,1105,longer_test,66,42013_0066,True,True,success,67.0,7.901212215423584,1.275078535079956,1031.6953125,1016.9723510742188,14521.2666015625,7,0.0,0.0,1.3774297175209609,5.895858928635056e-07,-7.341606140136719,-19.194091796875,-39.89552307128906,28.657114513218403,1.0144772484819569,0.22388059701492538,3.0,0.11940298507462686,26.893953323364258,0.0
reward_only,1105,longer_test,67,42013_0067,True,True,success,95.0,7.484426021575928,1.3809148073196411,1622.6463623046875,1605.9110107421875,22831.921875,6,0.0,0.0,2.546921092722761,9.377279680895873e-07,-9.11169719696045,-18.36385154724121,-39.47368240356445,35.72064795717597,1.0104210952229324,0.3684210526315789,5.0,0.29473684210526313,104.11431884765625,0.0
reward_only,1105,longer_test,68,42013_0068,True,True,success,93.0,5.016101360321045,0.6756030321121216,1633.412353515625,1619.5401611328125,22818.875,11,0.0,0.0,0.768541310423164,4.3262237567731026e-07,-6.378477573394775,-16.341156005859375,-40.31182861328125,36.56625796854496,1.0085655130485367,0.22580645161290322,4.0,0.10752688172043011,21.257761001586914,0.0
reward_only,1105,longer_test,69,42013_0069,True,True,success,118.0,9.524458885192871,1.9139708280563354,1754.8804931640625,1757.1263427734375,25988.70703125,11,0.0,0.0,2.0952569215668966,8.106105129507927e-07,-7.959659576416016,-18.192291259765625,-39.0,37.07989467307925,0.9987218621935687,0.2966101694915254,4.0,0.22033898305084745,67.55677795410156,0.0
reward_only,1105,longer_test,70,42013_0070,True,True,success,84.0,2.5008137226104736,0.7000862956047058,1225.0179443359375,1214.02001953125,17713.78125,7,0.0,0.0,0.5883874193366084,3.948498144742037e-07,-6.210834503173828,-15.884222030639648,-40.47618865966797,30.90939479880035,1.0090590967428477,0.19047619047619047,2.0,0.09523809523809523,17.76926040649414,0.0
reward_only,1105,longer_test,71,42013_0071,True,True,success,92.0,3.001399278640747,0.9326749444007874,1590.9337158203125,1579.1395263671875,22450.853515625,12,0.0,0.0,0.7409722907063754,7.250280311194254e-07,-7.183251857757568,-16.083724975585938,-38.80434799194336,35.441706236451864,1.007468744373879,0.2717391304347826,2.0,0.1956521739130435,9.279619216918945,0.0
reward_only,1105,longer_test,72,42013_0072,True,True,success,109.0,1.1860352754592896,1.868857741355896,1794.5023193359375,1778.7904052734375,25737.376953125,12,5.0,0.0,9.295567069373547,2.295481033551694e-07,-11.2352933883667,-16.047046661376953,-45.119266510009766,38.613064761739224,1.0088329204024937,0.10091743119266056,3.0,0.08256880733944955,200.0,0.0
reward_only,1105,longer_test,73,42013_0073,True,True,success,66.0,7.0719804763793945,1.2919434309005737,1014.2557983398438,1001.5361328125,14035.9853515625,7,0.0,0.0,2.3103330260960457,8.249885976249172e-07,-9.743792533874512,-19.8441162109375,-40.66666793823242,27.75608615577221,1.0127001564003733,0.3939393939393939,6.0,0.3181818181818182,42.70588302612305,187178.65625
reward_only,1105,longer_test,74,42013_0074,True,True,success,88.0,5.010046005249023,0.6561847925186157,1438.6925048828125,1425.348388671875,20283.658203125,10,1.0,0.0,6.674073208800771,7.304516758727625e-07,-9.300689697265625,-21.035682678222656,-40.375,33.09444176778197,1.0093620032246091,0.3068181818181818,4.0,0.25,200.0,0.0
reward_only,1105,longer_test,75,42013_0075,True,True,success,73.0,3.1522154808044434,0.8807711601257324,1219.4764404296875,1211.26953125,16921.748046875,8,0.0,0.0,10.824509528325233,1.0249709952379456e-06,-11.090527534484863,-22.368030548095703,-41.082191467285156,29.721905233338475,1.006775460760759,0.4657534246575342,6.0,0.5068493150684932,139.81369018554688,0.0
