lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return
48,42003_0048,True,True,success,50.0,0.7924904227256775,0.0,1092.252197265625,1091.4599609375,15394.4794921875,4,0.0,0.0,1.1312339314818383,7.078893912648709e-07,-7.098380088806152,-18.9019775390625,-38.65999984741211,30.681611333042383
49,42003_0049,True,True,success,78.0,0.7274270057678223,2.4575624024691933e-07,1796.4261474609375,1795.69873046875,25237.58203125,9,3.0,0.0,26637.95269060326,4.6365066707902514e-07,-14.853503227233887,-27.9969425201416,-46.35897445678711,38.74359369650483
50,42003_0050,True,True,success,76.0,0.7912068963050842,0.0,1744.6351318359375,1743.843017578125,24519.615234375,3,0.0,0.0,1.2486318616490615,5.24520652034928e-07,-6.2630391120910645,-15.749590873718262,-39.77631759643555,39.282865008339286
51,42003_0051,True,True,success,55.0,0.7651435732841492,0.0,1216.2786865234375,1215.5130615234375,17134.5078125,5,0.0,0.0,2.307244444435293,7.976657364203923e-07,-8.088924407958984,-19.194665908813477,-39.272727966308594,31.720319375395775
52,42003_0052,True,True,success,66.0,0.71122807264328,1.1920928955078125e-07,1490.180419921875,1489.4698486328125,20973.52734375,6,0.0,0.0,10.08226385136897,7.04232258878316e-07,-9.023252487182617,-20.186248779296875,-40.92424392700195,35.343057695776224
53,42003_0053,True,True,success,60.0,0.06457138806581497,0.6450968980789185,1355.6107177734375,1355.545654296875,19033.0625,4,0.0,0.0,0.19339228967825572,3.539936012468085e-07,-4.690309047698975,-12.003149032592773,-39.46666717529297,34.46127213910222
54,42003_0054,True,True,success,48.0,0.20490603148937225,0.18210285902023315,1052.929931640625,1052.724853515625,14805.376953125,1,0.0,0.0,1.6466149340073268,3.966237155002735e-07,-5.8201584815979,-18.57196044921875,-40.3125,30.308290418237448
55,42003_0055,True,True,success,74.0,0.6275285482406616,2.4575624024691933e-07,1689.06298828125,1688.4361572265625,23762.712890625,6,0.0,0.0,4.864543114235071,7.404802221959176e-07,-9.962762832641602,-20.885751724243164,-41.68918991088867,37.563948560506105
56,42003_0056,True,True,success,63.0,0.43884921073913574,1.7531397342681885,1436.5628662109375,1437.00146484375,20147.76953125,4,0.0,0.0,0.06302866848215224,5.33408562808016e-07,-6.308094024658203,-11.052874565124512,-39.44444274902344,35.58884700760245
57,42003_0057,True,True,success,77.0,0.6805406808853149,3.3717478231665154e-07,1764.7197265625,1764.0401611328125,24819.0,4,0.0,0.0,0.7080890661129704,6.893357174426278e-07,-6.21157169342041,-17.34600067138672,-38.14285659790039,40.034370217472315
58,42003_0058,True,True,success,71.0,0.6901252865791321,0.0,1614.8533935546875,1614.1639404296875,22720.32421875,4,0.0,0.0,0.6860840106514138,3.4686244907308567e-07,-6.353395938873291,-16.265087127685547,-41.18309783935547,37.7491060346365
59,42003_0059,True,True,success,50.0,0.002085938351228833,0.8032885193824768,1106.5406494140625,1106.5433349609375,15542.9580078125,5,0.0,0.0,3.2303547087311744,4.3751906105171655e-07,-8.372945785522461,-17.89577865600586,-42.220001220703125,30.489106439054012
60,42003_0060,True,False,success,77.0,0.1560916155576706,0.37604010105133057,1779.04443359375,1778.888671875,24966.75,8,2.0,1048083.5703125,17259.575508804,1.0808034031387335e-06,-14.85690975189209,-24.190290451049805,-43.25973892211914,37.91077320277691
